,compound,preverb,simplex
464,ἀντεπιδείκνυμι,ἀντί-ἐπί,δείκνυμι
465,ἀντεπικουρέω,ἀντί-ἐπί,ἐπικουρέω
466,ἀντεπιμελέομαι,ἀντί-ἐπί,ἐπιμελέομαι
467,ἀντέπειμι,ἀντί-ἐπί,εἶμι
468,ἀντεπιγράφω,ἀντί-ἐπί,γράφω
469,ἀντεπηχέω,ἀντί-ἐπί,ἠχέω
470,ἀντεπιθυμέω,ἀντί-ἐπί,θυμέω
471,ἀντεπιστέλλω,ἀντί-ἐπί,στέλλω
472,ἀντεπιστρατεύω,ἀντί-ἐπί,στρατεύω
473,ἀντεπιτάσσω,ἀντί-ἐπί,τάσσω
474,ἀντεπιτειχίζομαι,ἀντί-ἐπί,τειχίζω
475,ἀντεπιτίθημι,ἀντί-ἐπί,τίθημι
476,ἀντεπιχειρέω,ἀντί-ἐπί,χειρέω
477,ἀντεισάγω,ἀντί-εἰς,ἄγω
478,ἀντικαταλλάσσομαι,ἀντί-κατά,ἀλλάσσω
479,ἀντικατηγορέω,ἀντί-κατά,ἠγορέω
480,ἀντικαθίστημι,ἀντί-κατά,ἵστημι
481,ἀντικάθημαι,ἀντί-κατά,κάθημαι
482,ἀντικαταλείπω,ἀντί-κατά,λείπω
483,ἀντικαταθνήσκω,ἀντί-κατά,θνήσκω
484,ἀντικατατείνω,ἀντί-κατά,τείνω
485,ἀντιμεθέλκω,ἀντί-μετά,ἕλκω
486,ἀντιμέτειμι,ἀντί-μετά,εἶμι
487,ἀντιμεθίστημι,ἀντί-μετά,ἵστημι
488,ἀντιπαρεξάγω,ἀντί-παρά-ἐκ,ἄγω
489,ἀντιπαράγω,ἀντί-παρά,ἄγω
490,ἀντιπαραγγέλλω,ἀντί-παρά,ἀγγέλλω
491,ἀντιπαραβάλλω,ἀντί-παρά,βάλλω
492,ἀντιπαρέρχομαι,ἀντί-παρά,ἔρχομαι
493,ἀντιπαρέχω,ἀντί-παρά,ἔχω
494,ἀντιπάρειμι,ἀντί-παρά,εἶμι
495,ἀντιπαρακαλέω,ἀντί-παρά,καλέω
496,ἀντιπαρακελεύομαι,ἀντί-παρά,κελεύω
497,ἀντιπαραλυπέω,ἀντί-παρά,λυπέω
498,ἀντιπαραπλέω,ἀντί-παρά,πλέω
499,ἀντιπαραθέω,ἀντί-παρά,θέω
500,ἀντιπαρασκευάζομαι,ἀντί-παρά,σκευάζω
501,ἀντιπαρατάσσομαι,ἀντί-παρά,τάσσω
502,ἀντιπαρατείνω,ἀντί-παρά,τείνω
503,ἀντιπαρατίθημι,ἀντί-παρά,τίθημι
504,ἀντιπεριλαμβάνω,ἀντί-περί,λαμβάνω
505,ἀντιπεριπλέω,ἀντί-περί,πλέω
506,ἀντιπεριχωρέω,ἀντί-περί,χωρέω
507,ἀντιπρόειμι,ἀντί-πρό,εἶμι
508,ἀντιπροκαλέομαι,ἀντί-πρό,καλέω
